1,"যুদ্ধের সর্বোচ্চ পর্যায়ে, বিশাল বিস্তৃতি নিয়ে, শত্রণর উপর সার্বক্ষণিক পর্যবেক্ষণ, তথ্য পিছনে পাঠানো এবং হয়রানি করার জন্য        নিয়োজিত থাকে।",,পর্যবেক্ষন দল
2,খনন কাজ রাতের মধ্যেই এবং        কাজ উযা লগ্নের পূর্বেই শেষ করতে হবে।,,ছদ্মবেশ
3,প্রতিরক্ষার সেকশনের বিকল্প অবস্থান মূল অবস্থান হতে দূরে হওয়া উচিত।,,১৫০/২০০ গজ
4,প্রতিরক্ষায় প্রথম সারির রিজার্ভ এ্যামুনিশন কোম্পানী সদরের এর সাথে থাকবে।,,সিএসএম
5,সুপারিশকৃত প্রতিরক্ষায় শত্রুর সংস্পর্শে না থাকলে নিজ পছন্দমতো স্থানে প্রস্তুত করা প্রতিরক্ষা ব্যবস্থাকে প্রতিরক্ষা বলে।,,পরিকল্পিত
6,প্রতিরক্ষায় প্লাটুন অধিনায়ক যুদ্ধের সময় তার           হতে সেকশন সমূহকে দৃষ্টি/সংকেতের মাধ্যমে নিয়ন্ত্রন করনে।,,আদেশ চৌক
7,প্রতিরক্ষার সামনে ফায়ার এলাকা বিশাল হলে প্লাটুন অধিনায়ককে একটি            ঠিক করতে হবে।,,ভূমি চিহ্ন
8,যেহেতু          প্রহরীর দায়িত্ব খুবই একঘেয়েমিপূর্ণ সেহেতু তাদের ঘনধন বদলানো উচিৎ।,,আকাশ
9,ব্যাটালিয়ন পর্যায়ের প্রতিরক্ষা অবস্থানে অনিয়োজিত সংরক্ষিত দল রাখা সম্ভব না হলে         এর মাধ্যমে পূরণ করা যায়।,,Be Prepared Misson
10,আক্রমণাত্বক প্রতিরক্ষার মূল ধারণা বহুলাংশে নির্ভর করে কার্যকরী ব্যবহারের উপর।,,সংরক্ষিত দল
11,প্রতিরক্ষায় নিত্যক্রম মেনে চলার মূল উদ্দেশ্য হচ্ছে  হতে মুক্ত থাকা।,,আতর্কিত হামলা
12,প্লাটুন পর্যায়ের           একমাত্র স্বয়ংক্রিয় অস্ত্র যার এক বা ১২ একাধিক বিকল্প অবস্থান থাকা আবশ্যক।,,এল এম জি
13,প্রতিরক্ষায় রাতের বেলা সকল আলো নিয়ন্ত্রনের ভার ১০ সাধারণতঃ এর উপর থাকে।,,কোম্পানী অধিনায়ক
14,          মাইন ফিল্ড ইউনিটের নিজস্ব নিরাপত্তার জন্য শত্রুনর সবচাইতে সন্তানা আগমন পথে লাগানো হয়ে থাকে।,,প্রোটেকটিভ
15,প্রতিরক্ষায় সুবিধাজনক স্থান না পাওয়া গেলে সেকশনের সামনে          থাকলেও প্রতিরক্ষা নেওয়া যেতে পারে।,,১০০ গজ
16,প্রতিরক্ষায় হুশিয়ারীর সময় রক্ষিত চৌকি পরিদর্শন কালে মনে রাখতে হবে যে গ্রেড         করা আছে,,প্রাইম
17,মূল প্রতিরক্ষায় প্লাটুনের কাজ নয় কোনটি?,"খনন করা। , সেকশন অদিণায়কের পাল্লা নির্দেশিকা তৈরী করা। , যোগাযোগ স্থাপন করা।, মাইন লাগানো।", যোগাযোগ স্থাপন করা।
18,যে অবস্থান থেকে অস্ত্র ফায়ার করার সময় শত্রুর ফায়ার হতে আড় পায় এবং নিরাপদ থাকে তাকে কি পজিশন বান?,"এনফিলেড।, বিকল্প।, ডেফিলেটেড।, কোনটিই নয়।", ডেফিলেটেড।
19,প্রতিরক্ষায় এফডিএনএ কোন অস্ত্র নষ্ট হয়ে গেলে প্লাটিন অধিনায়ক এর কর্তব্য কি?,"গভীরের সেকশন থেকে অস্ত্র এনে ঐ স্থানে স্থাপন করা।, কোম্পানী অধিনায়কের আদেশের জন্য অপেক্ষা করা।, উপরের সবগুলি।, কোনটিই নয়।",গভীরের সেকশন থেকে অস্ত্র এনে ঐ স্থানে স্থাপন করা।
20,প্লাটুন সদরের টেলিফোনে সব সময় লোক রাখতে হবে। ইয়া নিশ্চিত করা কার কাজ।,"প্লাটুন সার্জেন্টের।, প্লাটুন কমান্ডারের।, সেকশন কমান্ডারের।, উপরের সবগুলি",প্লাটুন সার্জেন্টের।
21,নিরাপত্তামূলক না রক্ষাকারী উপদল (Protective Detachment) নয় কোনটি?,"পর্যবেক্ষণ দল।, সংরক্ষিত দল।, অগ্রবর্তী অবস্থান।, পর্দা",সংরক্ষিত দল।
22,সমন্বয় নির্দেশাবলী সময়াবলী তে কোন বিষয়টি উল্লেখ করতে হয়,"প্রতিরক্ষা অবস্থান গ্রহণের সময়।, প্রতিরক্ষা অবস্থান শেষ করার সময়।, ওপি পাঠানোর সময়। , কও খ।",ক ও খ
23,"প্রতিরক্ষার ক্ষেত্রে, নিচের কোনটি সবচেয়ে ছোট সংগঠন যা  একটি চতুর্মুখী প্রতিরক্ষা নিতে পারে?","সেকশন।, প্লাটুন।, কোম্পানী।, কোনটি নয়।",প্লাটুন।
24,প্লাটুন অধিনায়কের দেওয়া সময় ও স্থান অনুযায়ী প্লাটুন  আদেশ দলের গমন নিশ্চিত করা কার দায়িত্ব?," সেকশন অধিনায়ক।, প্লাটুন সার্জেন্ট।, আর এল ম্যান।, ক ও খ। ", প্লাটুন সার্জেন্ট।
25,রক্ষণাত্নক যুদ্ধ কয়টি পর্বে সম্পন্ন হয়?,"৪ টি, ৫টি ৩টি, ২টি",৩টি
26,রক্ষণমূলক ফায়ার তলব করতে হলে নিম্নলিখিত কোন তথ্যটি দিতে হবে না।,"শত্রু সংখ্যা।, শত্রুর অবস্থান, একটি গ্রীড সূত্র।, শত্রু কি করছে।, কখন তাদের দেখা গেছে",শত্রু কি করছে।
27,প্রতিরক্ষায় একটি সেকশনের বিকল্প অবস্থান মূল অবস্থান হতে সাধারণত। কত দূরত্বে হওয়া উচিত?,"২০০-৩০০ গঞ্জ, ২৫০-৩৫০ গজ।, ১৫০-২০০ গজ।, ৩০০-৪০০ গল্প ",৫০-২০০ গজ।
28,যে ফায়ারের বিটেন জোনের অফ এবং শত্রুসেনার অক্ষ মিলে যায় তাকে কি বলে। ,"এনফিলেড ফায়ার।, জেফিলেটেড অবস্থান।, প্রতিভেদ রেখা।, পাল্টা যায় তাকে কি বলে? আক্রমন।",এনফিলেড ফায়ার।
29,প্রস্তুতি অনুসারে শত্রুণা সংস্পর্শে না থাকলে নিজ পছন্দমতো  স্থানে প্রস্তুত করা প্রতিরক্ষা অবস্থানকে কি বলা হয়? ,"তড়িৎ প্রতিরক্ষা।, সুপরিকল্পিত প্রতিরক্ষা।, সংগঠিত চতুর্মুখী প্রতিরক্ষা।, অবস্থিত চতুর্মুখী প্রতিরক্ষা।",সুপরিকল্পিত প্রতিরক্ষা।
30,সম্প্রসারিত প্রতিনরক্ষর ক্ষেত্রে গভীরতা কিভাবে অর্জন করা হয়,"মাইন ফিল্ড স্থাপনের মাধ্যমে।, প্রতিরক্ষা ফায়ারের মাধ্যমে।, বিকল্প অবস্থান দখলের মাধ্যমে।, পর পর কয়েকটি প্রস্তুতকৃত অবস্থান দখলের মাধ্যমে।",পর পর কয়েকটি প্রস্তুতকৃত অবস্থান দখলের মাধ্যমে।
31,নিম্নের কোনটি তথ্য সংগ্রহের সাধারণ উপায় নয়?,"অস্ত্রের বিকল্প স্থান। টহলের মাধ্যমে।, শেল বা মর্টার প্রতিবেদন।, পরিখা থেকে প্রহরী কর্তৃক পর্যবেক্ষন।",অস্ত্রের বিকল্প স্থান
32,প্রতিরক্ষা অবস্থানে মূল দলের পশ্চাৎ থেকে ধারাবাহিক প্রত্যাহার করাকে            বলে।,,থিনিং আউট
33,রণকৌশলগত পূনঃমোতায়েনে প্লাটুন পরীক্ষাস্থলের দায়িত্বে  সাধারণতঃ             কে নিয়োগ করা হয়,,আরএল নং-১/ প্লাটুনের একজন দায়িত্ববান 
34,রণকৌশলগত পুনঃমোতায়েনে প্লাট্রন মিলনস্থানের নিরাপত্তার দায়িত্বে সাধারণতঃ           নিয়োজিত থাকেন।,,গবীর সেকশন হতে একটি এলএমজি দল
35,রাতে যখন ভালো করে দেখা যায় না এবং নিশ্চিত চাপ নেই তখন           রণকৌশলগত পুনঃমোতায়েন কৌশল ব্যবহার করা যায়।,,নৈশ
36,শত্রুর অগ্রাভিযানকে বিলম্বিত করার জন্য যে অবস্থান গ্রহণ করা হয় তাকে          অবস্থান বলে।,,বিলম্বীকরণ 
37,রণপমে            এক ধরণের যুদ্ধ যেখানে শত্রুকে ক্রমাগত বাধা প্রদানের মাধ্যমে সমর অর্জন করা যায়।,,বিলম্বীকরণ যুদ্ধ
38,পরে সাধাররণ অপ্রয়োজনীয় দ্রব্য সামগ্রী ও জনবল রণকৌশলগত পুনঃমোতায়েন করবে।,,পর্যবেক্ষণ দলের
39,শক্রুকে কতক্ষন বিলম্ব করানো হবে এর উপর নির্ভর করে এক বা একাধিক         দখল করতে হবে।,,মধ্যবর্তী অবস্থান
40,বিভিন্ন আবরনী ও বিলম্বকরণ কৌশলের আবরণে পদ্ধতিতে দিবা রনকৌশলগত পুনঃমোতায়েন করা হয়।,,লীপ ফ্রগ
41,রণকৌশলগত পুনঃ মোতায়েন কয় ধাপে করা উচিত?,"১টি, ৩টি, ৪টি , ৫টি ",৫টি
42,নীচে কোনটি রনকৌলগত পুনঃমোতায়েন মৌলিক বিবেচ্য বিষয় নয়?,নিয়ন্ত্র,
43,রণকৌলগত পূনঃ মোতায়েনে কোম্পনী পর্যবেক্ষণ দল সংগঠন।,"১৬ জন, ১২ জন,  ২০ জন, ২৪জন",১২ জন
44,"রণকৌশলগত পুনঃ মোতায়েন কয় ধাপে অপ্রযোজনীয় ব্যক্তি, সামগ্রী, যানবাহন পিছেনে পাঠানো হয়?","১ম ধাপে, ২য় ধাপে, ৩য় ধাপে, ৪র্থ ধাপে", ২য় ধাপে
45,কোনটি রণপমে অতিরিক্ত সময়?,"থিনিং আউটের সময়।, অবস্থান যে সময়ে সম্পূর্ন ছেড়ে দেওয়া হবে। , রেণকৌশলগত পূর্ণঃ মোতায়েনকারী সেনা যে সময়ে পুরাতন আবস্থানের পিছনে একটি নির্ধারিত রেখা আতিক্রম করবে।, পর্যবেক্ষন দল ব্যতীত অন্য কেউ যে সময়ের পূর্বে পিছনে যাবে না।",পর্যবেক্ষন দল ব্যতীত অন্য কেউ যে সময়ের পূর্বে পিছনে যাবে না।
46,রণকৌলশলগত পূনঃ মোতায়েন জন্য প্লাটুন মিলনস্থান ক নির্বাচন করে থাকে,"প্লাটুন সার্জেন্ট, কোম্পানী অধিনায়ক, প্লাটুন অদধনায়ক, ব্যাটালিয়ন অধিনায়ক",প্লাটুন অদধনায়ক
47,কোম্পানী প্রকিরক্ষার ক্রেত্রে রণকৌশলগত পুণঃ তোমায়েনের সাময় সাধারনত কি পরিমাণ জনবল পশ্চাৎদল হিসে রাখা হয়?,"এক সেকশন পরিমান, দুই সেকশন পরিমান, এক প্লাটুন পরিমান, দুই প্লাটুন পরিমান",এক প্লাটুন পরিমান
