1,"Mil Doc is therefore,            but is in no way mandatory dogma, which must be applied blindly to any and every sit; at all times it reqr          in application.",,"Authoritative, judgement."
2,"The concept of             , as a principle of log sp in the unconv setting must not be interpreted as cost free and unorg affair.",,‘Living off the land’.
3,"The Culminating pt is the pt in           and            at which the offn becomes overextended, and offn cbt power no longer sufficiently exceeds that of the defender to allow continuation of the offences.",,"Time, Space."
4,The campaign plan provides an orderly schedule of mil decisions and operational direction through a series of         .,,Maj op.
5,All military campaigns and maj ops are anchored at a           .,,Base.
6,________ may be defined as: fundamental principles by which mil forces guide their acts for attainment of mil objs.,,Mil doc.
7,The Jt Comd Cen (JCC) is resp for the design of             .,,Ntl mil strat.
8,A def culminating pt is that pt at which the defender's Cap is reduced to such a degree that continued           could result in the defender's defeat in detail.,,Pursuit.
9,"The  JCC, which  is the ipso facto theatre of war comd, is provided ______ from the Govt.",,Strat guidance.
10,Understanding of                   by the leaders merits serious considerations.,,human dimension.
11,Which one of the fol is not the log principle?,"Flexibility, Econ, Simplicity, Decen",D
12,"How far fwd of FEBA the btl hand over line is typically loc where the units in the main def posn can bring direct fire to facilitate various coering tps activities such as disengagements, wdrl or passage of line.","2-3 km forward, 2-4 km forward, 6-7 km forward, Coloc to screen",B
13,"In a theatre of war/op, en forces should be simultaneously engaged throughout the       .","Non linear Engagement, Lines of operation, Unorthodox operation, Unconventional war",B
14,"Which are not rules, yet blatant disregard for them involves risk and could result in failure?","Key Concept of Op Art, Principles of War, BOS, Tenets of Army Op",B
15,"In the bde def framewk, the gaps are denied to the en by:","Coord indir fire and ptl, Artificial obs, Unconventional forces, All of the above",D
16,Which one contribute greatly to the enhancement of a force's sy:,"Deception, Surprise, All of the above, None of the above",A
17,Weapons sited for air defence must have all round view of at least          .,,2000 m.
18,The aim of operating behind the enemy lines is to begin the attrition process early on and shape the battlefield by striking _________ targets.,,High pay-off.
19,"All obs must be covered by _______  and             should, if poss, also be covered by dir fire. ",,"Obsn, indir fire."
20,"In def, laying of mines is normally coordinated at ______.",,Bde and higher lvl.
21,The type of op - def or offn - is usually determined by which elm is predominant in the conduct of the ________.,,Campaign or battle.
22,In coy def the res ammo is normally kept at       . ,,Coy HQ. 
23,The corner stone of the def plan is where and how to kill the en which will largely dictate the disposn of        so that they can be used to the greatest eff.,,Wpn.
24,"Where F of F and obsn are restricted, the frontage covered would be __________. ",,Less.
25,When def is taken on the home bank of a riv fwd pl are posn to cover the most likely ______.,,X sites.
26,"In def, it is essential that         is not sacrificed in an attempt to cover the bn gp frontage in str. ",,Depth.
27,"In def, concealment may not as far as possible be sacrificed for __________, so long satisfactory killing range for inf wpns is ensured.",,Long F of F.
28,"To achieve all rd def, adjustment permissible at Bn level is:","One pl at a time, One sec at a time, One LMG Gp at a time, One auto at a time",A
29,The company HQ may also be co-located with       .,"Sections, Depth Platoons, Forward Platoons, One of the rifle Platoons",D
30,"In unavoidable circumstances, what should be the min F of F in def?","50 m, 100 m, 150 m, 200 m",B
31,Which is not a ph of Anti Airborne/Heliborne measure,"Forecast, Find, Cordon, Fix",C
32,Bn screen normally depl:,"1-2 km fwd of the main posn, 2-3 km fwd of the main posn, 3-4 km fwd of the main posn",B
33,Battalion screen assumes responsibility form division/brigade control covering troops/advance positions at       .,"Break Clean Line, Battle Handover Line, Fire Support Coordination Line, Line of FDL",B
34,The primary tasks of MG in def:,"Cover by fire the frontages of own coy and bn def area, Cover gaps between coy and bn def area, Assist in C pen, Sp a C attk",A
35,Within the coy mov/shifting of wpn gps to avoid pen or stop further pen may be termed as:,"Altn posn, Readjusted posn, C pen posn, Reloc posn",B
36,The composition of the c pen force will depend on fol factors:,"a. Grd, b. En posn, c. Resources aval, d. All of the above",D
